Make,Year,Make,Model,Total
Acura,2012,Acura,"Tsx sportwagon",116
Acura,2008,Acura,TL,110
Acura,2015,Acura,TLX,102
Audi,2014,Audi,S4,120
Audi,2015,Audi,S3,38
Audi,2008,Audi,A4,28
Bmw,2016,Bmw,M2,24
Bmw,2014,Bmw,4,22
Bmw,2007,Bmw,328i,10
Chevy,2010,Chevy,Camaro,64
Chevy,2014,Chevy,Cruze,50
Chevy,2015,Chevy,Camaro,0
Chrystler,2007,Chrystler,300,96
Dodge,2001,Dodge,Viper,8
Ford,2017,Ford,"Focus rs",54
Ford,2014,Ford,"Focus st",30
Ford,2016,Ford,"Focus rs",26
Honda,2014,Honda,Accord,112
Honda,2009,Honda,Fit,106
Honda,2007,Honda,Fit,102
Hyundai,2012,Hyundai,Celoster,66
Hyundai,2017,Hyundai,"Elantra sport",62
Hyundai,2017,Hyundai,"Elantra sport",30
Infiniti,2010,Infiniti,G37,128
Infiniti,2011,Infiniti,M37s,44
Infiniti,2009,Infiniti,G37,38
Jeep,2015,Jeep,Wrangler,124
Lexus,2006,Lexus,Sc430,66
Lexus,2015,Lexus,Is250,40
Lexus,1995,Lexus,Sc300,10
Mazda,2007,Mazda,"Speed 3",48
Mazda,2015,Mazda,6,36
Mazda,1993,Mazda,Miata,26
Mercedes,2012,Mercedes,C250,78
Mercedes,2012,Mercedes,Cl63amg,70
Mercedes,2016,Mercedes,C43,34
Mitsu,2010,Mitsu,Lancer,102
Mitsu,1995,Mitsu,Evo8,44
Mitsu,2014,Mitsu,Lancer,40
Nissan,2010,Nissan,370,92
Nissan,2012,Nissan,370z,84
Nissan,2011,Nissan,370,84
Scion,2015,Scion,Frs,80
Scion,2013,Scion,Frs,20
Subaru,2016,Subaru,WRX,74
Subaru,2015,Subaru,Sti,68
Subaru,2009,Subaru,WRX,62
Toyota,1993,Toyota,Supra,58
Toyota,2011,Toyota,Camry,58
Toyota,2011,Toyota,"4 Runner",54
Volkswagen,2010,Volkswagen,Eos,92
Volkswagen,2011,Volkswagen,Gti,82
Volkswagen,2014,Volkswagen,Gli,56
Volvo,2006,Volvo,S60r,22
